tau_E,I_baseline,I_HD,reversal_potential,A_fast,fc_stim_duration,stim_delay,g_T,V_half_T,k_T,tau_hT,E_Ca,g_h,V_half_h,tau_h_on,tau_h_off,g_a,A_sc,tau_sc_on,tau_sc_off,tau_sc_off2,w_sc,sc_delay,tau_scg
43.527435435752864,23.27408262692383,48.50053614332491,0.0,278.446684916907,63.38306969927579,82.74893135701357,318.722218336011,89.80331838833642,154.0568800389446,4.09178384978044,29.166236335218816,6.424395175015134,6.113188863326078,0.06072608841894946,0.019771258691168792,15.897897431478313,49.15687860031509,15.135181855806616,55.75491949610029,0.5893031185863178,2.8851675221675857,19.395631592103555,5.385576146618852
494.19598437352323,53.92336644639073,112.34674807955709,0.0,1815.6845569910406,182.07184796721526,264.61035296782023,121.9425435308412,67.02987488958883,196.25791177842288,27.960722585742204,17.697809432449084,15.83421828415758,52.54225061032642,21.334743697271463,8.082382672064814,36.740412901756635,221.24951586276248,21.716833047901133,23.4359258731422,9.821619322604416,38.569059334575506,25.633127734842997,16.84432397529994
136.5864812549926,27.037156428531038,56.34304172335184,0.0,547.0091525759618,212.16710476739757,271.86886173215777,306.8513933904334,78.97230944561987,147.50944243476448,8.101516349752764,47.27871806638075,46.61083811491062,12.562295282430814,0.724752035481081,0.7889956337255595,21.96959719664716,63.57915553133203,13.606662973766673,26.55088146218829,49.966315613077484,20.793056415223166,38.03671450812588,10.333459337492767
118.63365945948306,49.546450446217634,103.23173328390867,0.0,632.772003138433,137.74979665712593,258.87723470758823,37.107499709645374,80.16960968595735,307.97799257378057,23.231641110238343,23.995955982836584,6.360681214806484,3.130349927029243,1.4961653537151263,0.33161783982574683,24.510681934764488,149.58604039937828,24.593016597904526,9.670159686230624,26.29468354115343,14.761876079728799,30.225749873881117,43.058631994528724
70.49544082460794,57.1940424740721,119.16124594830319,0.0,231.40034869286413,323.05172360879914,156.09667049610502,105.67380271240701,98.47018750831468,248.80867067928511,124.97735474355895,14.445784602414163,5.741917757196216,7.02793027966155,0.32839808416692384,0.7843591956405986,31.774265746704422,160.58107326053582,13.051263093782367,20.59510933046894,12.514394590308221,22.001961705689638,12.44997944367871,8.794567822215
39.987927913350426,52.174494923277194,108.68698032579013,0.0,64.77461749201352,204.0143341895408,12.160115115931818,156.79806680003193,77.16705764319713,219.47076822070724,26.755277804982818,25.6004279424604,5.333219605103774,5.452049932389764,1.7995822421065317,1.0481019584632136,31.126390663647847,157.1806124299106,11.723501231955218,99.72574394551522,7.989717719478246,63.227299193833005,17.513607055146977,15.621627206053759
54.51905663951453,58.31110955026494,121.50610617853589,0.0,144.97474170677316,188.8722407450369,134.54033767366838,88.28406181541311,79.04766211437504,223.59201283941604,62.53526284422327,24.914828013904216,4.878890557409256,10.297918129400346,1.0347355666654996,0.437424063103611,39.3208452190689,164.1205361052124,7.93038986386446,21.247147557413832,20.374986064565874,43.10673853121209,15.285319563469033,11.048120421322938
21.27488617726219,56.44006725134576,117.59847469248847,0.0,282.4137958955891,96.23782722828282,93.39389635518161,225.7302886974702,64.94048712410827,169.53781590866188,1.4555240331886605,17.875704015250424,18.36064240596527,10.982160917051065,0.1342651814360406,0.1840123317846689,32.849610087441924,186.46779594115893,11.654388261609029,36.42601685223016,2.6829949111155678,35.58833803290552,19.872028174096112,8.048197142119475
59.30568738871567,61.45535831076543,128.04607060288745,0.0,610.7459803766616,43.29876488528345,220.60809284644967,81.07674087831691,68.39707265977569,224.00065104099176,32.16648555937488,12.269881852339255,21.804447922716975,3.8975409295799084,1.5870735841065202,2.698971826727245,42.2527589067388,225.6904325823902,28.816937524949374,35.590024248055364,40.75281451548238,82.97246940425417,6.177816175241801,16.28436945329559
6.141010891507805,48.79965108819832,101.6758141490289,0.0,252.07849265652663,75.34822386901573,85.55500719931207,292.52487314715887,76.5330749920964,187.66106304016543,3.323998838903389,20.336701062036827,6.356305654755631,19.484973933293052,3.1479892339839606,0.5503549316422262,27.696448193103297,47.36838736447232,8.908429900704396,0.0,50.20380170835615,49.25225658734352,12.273637320585939,9.765803437559562
