kind,mode,anti_thr,r2,pd_sc,anti_sc,base_peak
feasibility,ring,40.0,0.2747794279729062,58.6744076617681,23.723908191697756,28.273885674994816
feasibility,ring,20.0,-0.15279692025268488,64.13028230810708,5.596726533357462,28.238226168982408
feasibility,ring,10.0,-0.15279692025268488,64.13028230810708,5.596726533357462,28.238226168982408
feasibility,ring,5.0,-0.2395802358487953,66.8454794527588,0.0,28.274016028429198
feasibility,ring,2.0,-0.2395802358487953,66.8454794527588,0.0,28.274016028429198
feasibility,ring,0.5,-0.2395802358487953,66.8454794527588,0.0,28.274016028429198
feasibility,global,40.0,0.9517448615598876,74.9416445467297,24.841762387243286,22.51929717717491
feasibility,global,20.0,0.9477182027644816,73.18467890736375,0.0,26.425262790854717
feasibility,global,10.0,0.9477182027644816,73.18467890736375,0.0,26.425262790854717
feasibility,global,5.0,0.9477182027644816,73.18467890736375,0.0,26.425262790854717
feasibility,global,2.0,0.9477182027644816,73.18467890736375,0.0,26.425262790854717
feasibility,global,0.5,0.9477182027644816,73.18467890736375,0.0,26.425262790854717
feasibility,both,40.0,0.853624657677555,72.19505712573167,0.0,21.457970206664875
feasibility,both,20.0,0.853624657677555,72.19505712573167,0.0,21.457970206664875
feasibility,both,10.0,0.853624657677555,72.19505712573167,0.0,21.457970206664875
feasibility,both,5.0,0.853624657677555,72.19505712573167,0.0,21.457970206664875
feasibility,both,2.0,0.853624657677555,72.19505712573167,0.0,21.457970206664875
feasibility,both,0.5,0.853624657677555,72.19505712573167,0.0,21.457970206664875
kind,mode,r2,pd_sc,anti_sc
fit,ring,-0.06967474004713536,56.327815728073546,26.313118400581153
fit,global,0.9005565243022029,68.70252558887844,10.23613451085312
fit,both,0.9768437344151021,90.40471489091455,47.83856360194653
