Animal_Id,Cell_Id,R_Squared,SC_pd,SC_anti,SC_anti_data,tau_E,I_baseline,I_HD,A_fast,fc_stim_duration,stim_delay,g_T,V_half_T,k_T,tau_hT,E_Ca,g_a,A_sc,tau_sc_on,tau_sc_off,sc_delay,tau_dend,mg_conc,HDpeakFRsmooth,HDpeakFR,HDInx,pValS,pValR,nSpk,HDFR,HDAngle,vm_deltaBIC,vm_deltaAIC,vm_deltaLL,vm_mu1_deg,vm_mu2_deg,vm_kappa,vm_kappa2,vm_pi,vm_mu_uni_deg,vm_kappa_uni
EB09,1.0,0.7374071102282931,20.8978048643967,0.0,0.0,42.37608718168473,0.0,14.509544694958581,250.41195837872473,10.789135898594209,5.693407210647458,5.0,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,154.93081177045926,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,7.195121951219507,11.278195488721794,0.6472529909707935,0.018000000000000016,5.781870073154109e-16,188.0,2.1943206313293895,40.591500454238684,48.08593286575149,57.79525875424133,31.897629377120666,27.06281261873059,60.391224693654955,1.5380412072649392,30.3166866149031,0.5361955266576922,46.590399917307494,2.3599605981505505
EB12,50.0,0.47092833560170444,102.02050502633392,0.0,0.0,42.37608718168473,0.0,21.594435452049318,162.55267211418453,10.789135898594209,5.693407210647458,33.732338101533344,-5.0,3.0,12.075622954953563,100.90832814579784,0.705020732593147,162.4082580839951,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,102.80000000000219,140.00000000000296,0.9277207957506769,0.0010000000000000009,0.0,630.0,11.087848140831865,340.0264953260984,183.26799439976605,196.6051538579228,101.3025769289614,344.07827195877354,104.5506774352204,10.517643393670584,0.3444360068141309,0.95,344.51791822297463,5.399900386447691
EB12,51.0,0.5128676726696996,84.9448719470216,0.0,0.0,42.37608718168473,0.0,16.261567172953896,161.45895350723166,10.789135898594209,5.693407210647458,9.130145137836301,-5.0,3.0,12.075622954953563,100.90832814579784,1.7521951304477292,233.93264852186232,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,71.75324675324829,101.405622489962,0.9166043431738644,0.0,3.264014418303201e-280,799.0,12.978886811111877,273.75595075111755,-17.777447115873315,-3.7273642785744983,1.1363178607127509,282.6152472897345,271.1372889770752,14.006085669133011,18.189543977774434,0.533186053427505,277.23327921804884,13.687444322875768
EB12,52.0,0.6003795408959094,120.74971852788187,119.93280087872785,0.0,42.37608718168473,0.0,19.497832430050885,183.53525697753918,10.789135898594209,5.693407210647458,80.0,-3.1638509239797568,3.0,12.075622954953563,100.90832814579784,1.6434010653264564,187.35577054350622,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,90.53672316384375,141.94915254237588,0.9149632111721017,0.0,0.0,728.0,11.532892506471411,179.5290288374829,13.439108994875767,27.210012139465817,16.60500606973291,182.641755211962,189.11996760837462,10.376636257500618,114.96136092017068,0.7807110961991918,184.11312493202047,12.564438748290893
EB12,53.0,0.631205571050742,108.02466405608303,38.30750310065949,0.0,42.37608718168473,0.0,19.513777888848345,172.97647189223588,10.789135898594209,5.693407210647458,52.589040683002,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,196.58108986766237,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,109.90566037736085,195.5818965517283,0.9217709629439391,0.0010000000000000009,0.0,1142.0,18.787158927519734,3.1172766147155606,411.74749908003923,426.8691082506871,216.43455412534354,18.056025722385296,6.918897715581046,59.89035143961617,3.158679623159694,0.5460773922873109,13.51563728500824,5.870752119037942
EB12,54.0,0.5630266657501711,101.38420960345957,0.0,0.0,42.37608718168473,0.0,22.49055388753467,200.20359755786157,10.789135898594209,5.693407210647458,5.0,2.7862477403995043,3.0,12.075622954953563,100.90832814579784,2.0,192.24603695132808,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,128.91156462585306,187.9251700680312,0.9117718554722639,0.0010000000000000009,0.0,951.0,16.429580847013135,24.972541557056537,111.82068965430904,126.3932318419453,66.19661592097265,34.268475012310525,27.49925620827612,10.91142353945207,1.1036774359160861,0.95,34.10154703847228,7.480237701224708
EB12,55.0,0.39100790993374324,97.80273541898515,64.13952180869269,0.0,42.37608718168473,0.0,23.543439264780314,172.83639874869704,10.789135898594209,5.693407210647458,67.13879908067283,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,130.50708836966191,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,132.9908675799115,255.1136363636418,0.912464229737907,0.0,0.0,1340.0,19.725038846550387,192.26939715736634,149.96969112894482,165.57096580777966,85.78548290388983,199.81296264770185,198.2998078378174,25.798568443581885,4.4573240151090125,0.735477190205522,199.44379690751802,11.072878040222959
EB12,57.0,0.27372242204493435,62.76587355497577,0.0,0.0,42.37608718168473,0.0,15.753625426468474,193.44869098069492,10.789135898594209,5.693407210647458,12.232318466616853,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,270.03009992740306,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,43.777292576420145,56.277056277057476,0.8376950034660848,0.0,1.8920361371263605e-149,638.0,7.21840308105882,132.72189383212955,63.03691900770423,76.41193385773863,41.205966928869316,128.99408923694895,196.0965999236595,6.829375958644433,5.198832671043213,0.8605505010871036,136.78182287149883,3.6793198178157387
EB12,58.0,0.686516173637352,115.83759105384581,0.0,0.0,42.37608718168473,0.0,21.798417180142195,149.5168279742029,10.789135898594209,5.693407210647458,31.82404398236172,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,179.9890658967866,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,71.6942148760346,89.87603305785315,0.9480080444201183,0.0,2.0861304171260612e-232,413.0,6.918488479460297,358.21828390242433,122.75530967236091,134.82565245124403,70.41282622562201,8.015856106534143,329.1272978316973,11.64924987786962,0.355118756583836,0.9341183165201896,7.556588814915892,5.396164141546649
EB12,59.0,0.1683673586689287,67.12462545398846,0.0,0.0,42.37608718168473,0.0,18.934850860320903,149.79874247245675,10.789135898594209,5.693407210647458,6.3915459367667635,-5.0,3.0,12.075622954953563,100.90832814579784,0.8239027448474057,134.9970269361615,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,26.872246696035816,38.87559808612524,0.9374531464180882,0.0,2.234500215149745e-98,258.0,3.048160942897785,95.93865902115616,-4.711252579135353,5.947626175629498,5.973813087814749,108.76254233381441,88.00074091294927,42.61541977974446,49.52655717364782,0.5956105355114851,100.37942258885926,18.966976315379064
