Animal_Id,Cell_Id,r_split,ceiling,r2_in,r2_out,tau_E__A,tau_E__B,I_baseline__A,I_baseline__B,I_HD__A,I_HD__B,reversal_potential__A,reversal_potential__B,A_fast__A,A_fast__B,fc_stim_duration__A,fc_stim_duration__B,stim_delay__A,stim_delay__B,g_T__A,g_T__B,V_half_T__A,V_half_T__B,k_T__A,k_T__B,tau_hT__A,tau_hT__B,E_Ca__A,E_Ca__B,g_h__A,g_h__B,V_half_h__A,V_half_h__B,tau_h_on__A,tau_h_on__B,tau_h_off__A,tau_h_off__B,g_a__A,g_a__B,A_sc__A,A_sc__B,tau_sc_on__A,tau_sc_on__B,tau_sc_off__A,tau_sc_off__B,tau_sc_off2__A,tau_sc_off2__B,w_sc__A,w_sc__B,sc_delay__A,sc_delay__B,tau_scg__A,tau_scg__B
EB09,1.0,0.8038738957678206,0.794371209704373,0.7327284181301124,0.7075205868475678,37.83476021565185,31.74387421069181,3.7240623511161672,4.205518836710266,2.692303267015662,0.30956042783501614,-34.40016155180986,-27.434095240047963,216.4275389377664,228.89872770369087,12.923943882560936,12.67475182450512,3.5535569608751825,4.325248187982349,5.5696063257696835,5.000092121632768,-4.542140709295955,-4.9575132807199855,3.111102295722505,3.210110720974667,34.425701453184146,20.98701635167273,90.85806941286825,86.88237820503122,9.556615018353888,54.04285211996763,-24.68676670499308,-20.143630562941052,5.253704034893554,4.713667728938929,749.8342235335795,357.87729556072367,1.6059444308760151,1.9395831396393481,69.26048590317971,73.64727043750669,14.625697223044302,13.555028880129365,193.44163953357742,341.26502474829374,71.63453135480266,112.32448633791577,0.51581998729866,0.4081897199304255,1.2099063260263954,5.90686340601064,36.31896556454806,41.301561654216336
EB12,50.0,0.5870906687938146,0.5473522029836521,0.5383262623197538,0.5278802794987417,44.63230318623529,47.53268860049626,9.316990805599998,5.283734838551969,11.066320441299899,14.837235401703277,-46.418101901494246,-36.71895311892742,583.191232568583,360.63060152515885,2.910202985386822,4.515299735658475,6.28979700568895,5.284683380626503,24.414276224521124,27.952984473485895,-4.734301183396656,-3.872784238389288,3.0,3.1212882798752353,8.0,8.0,96.30833974946682,86.90414137696189,40.96049803047428,59.78023477562722,-22.00565532746723,-16.103488073466025,14.746559757447242,10.639453930318075,332.6423972351725,414.3026189012816,0.49682400109058394,0.7436644882840975,103.72062474247862,66.27212308740471,29.618973484798616,14.593288648308718,355.3780164719686,177.56909352163132,123.29149653102883,96.18384957081919,0.3425119010787224,1.0,2.8557280450402103,30.0,124.81788696119916,39.773841227384864
EB12,51.0,0.614331054864349,0.5792682538531468,0.5465334587043758,0.3883556501568294,10.040385999076799,32.696602233336584,7.607631716340848,9.977039312295085,10.16969173964273,0.3388192010154837,-45.63054461002813,-27.32024068928114,170.68440445474096,173.47381714953838,12.302810905229762,13.540364834459506,7.697189091737051,5.800193439469101,5.0,5.0,-5.0,-5.0,3.9295854710209257,4.209984279181158,8.963056340597738,11.954729396895823,121.02628733051243,149.4714901544135,19.48523714249232,31.038710363133998,-26.9076777814607,-10.626272038801806,8.027582977124055,9.025002908023186,323.7136994383749,712.2651936648886,2.0,2.0,69.49829213761983,116.57709503947983,14.843110126711577,11.28293608383052,147.08401898622216,101.14486727038535,95.73039146251381,115.05419634199569,1.0,0.9532887696752971,3.893017543864821,7.9620170439166325,8.549877946674592,44.990666963517285
EB12,52.0,0.700178443981823,0.6784040822968269,0.6764175282727132,0.6473576426444934,48.29247917211297,48.40234217625895,8.126887574104684,6.932674581704121,8.643173657091173,10.566810968494384,-46.685269551550135,-49.54381659625122,611.9216663433831,566.2577844185255,3.1077327702324675,3.6379514720576402,5.492251934284695,3.162040798314876,25.388491688915106,56.95370921114589,-4.340504323811945,-3.392648613112332,3.168488827485654,3.106093318530372,8.015397888408977,9.01566126660524,125.22378231211597,147.3608110829652,19.5971946851401,51.43643341612343,-2.391584510015631,-17.80174209704081,3.7141254847649217,14.096063036709946,859.9622216814867,859.5235574594747,1.1603804338057069,1.1305060257538129,69.26318290132787,101.18592973077254,12.841339366040248,33.4833874187361,361.3000649665881,256.0301592320843,63.93823398605242,107.37775046880371,0.8595683855120878,0.49537310995661943,24.531726521364902,20.927627017062115,11.962111906719773,50.284373212288756
EB12,53.0,0.7011923938003986,0.6795595492997056,0.6773786276896541,0.6452924633490267,44.61874377884741,46.18655571401571,12.134431975317193,6.875868386345165,4.7540963891310275,13.368394618397591,-29.460519713667072,-32.85658942371141,334.06321214204263,376.87813544755727,4.914161231331905,4.181181229140959,4.999997630674081,3.01881877084596,22.794481728158654,20.71564485761905,-4.841540164596664,-3.6636345436629827,3.0,3.0,9.991703226439814,8.0,101.44250054697343,93.86538156628558,7.543212870548649,6.6005094585136845,-17.945367420685066,-12.088917536349646,6.001031418240656,12.10341937997857,829.0081421038495,499.1767302880466,0.5726880758066274,1.802858650539145,87.8480262039762,97.94670218959682,34.17067085847416,26.45583327469628,182.4964699390439,341.34912324360005,123.97511022349303,79.95876174109215,1.0,0.6316002899670258,27.001506383410025,2.1144389265455827,70.65216065542415,79.16614690147811
EB12,54.0,0.69622034068639,0.6738897837307732,0.6582085688194488,0.625429654348667,47.58097023967862,42.364874841976274,7.746953928071689,13.027608058831376,13.23582852286809,8.171155262611347,-36.38480587070082,-28.840785403955042,462.15430390182155,489.6461590941984,4.514235395938158,3.668792456998407,3.485764596225663,3.600033002232503,5.412612739460672,28.96886439352571,-2.160825708413104,-5.0,3.2038938040618756,3.0,13.128398282184513,8.0,197.7281669310348,105.0181466688615,39.31368921103063,24.1781954344259,-12.177400648013226,-22.473847532675233,4.5852756882315004,6.305347144776631,535.3864823601031,611.2932936717757,1.9308360796923583,2.0,267.89859963598826,121.11598294202084,29.385051619350804,24.56173242283229,467.31731822588597,274.5694504432657,26.152062316287154,131.90712457075824,0.22424818602009433,0.7670161428220457,3.0678232002928816,0.006581230542287234,28.869766267409457,149.59288559257865
EB12,55.0,0.5820476885120973,0.5414246045269255,0.5729206154732795,0.548216262073301,47.761704600685015,37.91324117793797,14.78630454290579,7.596888193811464,6.288833505375608,13.734019692594666,-40.18833893505202,-25.529916476060365,475.46711711594253,418.1334502484165,4.087010724081454,3.9991387785088763,3.6000129758149204,5.199994878589883,33.02733195391981,18.295138576795594,-3.624818406722255,-5.0,3.216473113342813,3.0,8.108793818202537,8.0,102.98207166940003,104.8236218527253,26.887779839054314,11.733301641584495,-19.44725844640908,-29.048277502254763,10.539022514240004,10.532550021200437,646.9894036822793,718.1686401477232,1.5554350026176647,0.8374799724743376,162.33906286029895,82.40017980358037,36.257935535033056,20.192872647103467,159.21420015830822,247.06067374975308,16.345464838374106,133.8949710167246,0.468308403811398,0.5508571676624968,11.3730779932574,5.4903852794093355,149.66880050992648,136.24399794188693
EB12,57.0,0.5101750349934395,0.4565031977338192,0.4575852409009943,0.38156159488261554,31.460501797798944,39.22496255807397,4.131930226282112,10.333683380142315,12.077911942053717,5.65579341236616,-34.09493161592398,-45.793438271675626,202.9462612433726,200.70938246103947,12.444406852764931,12.480194913547564,7.200050998968167,6.119806754334242,5.973446479329396,7.778004724645518,-4.259687736023239,-2.574881505078667,3.16597835547947,3.0989972305558005,8.911100946770501,20.500230186755214,102.7619652004387,82.35690702681158,10.107383539245056,15.171292429786476,-25.0754600552696,-29.468305748429078,10.57835868557315,7.536133306756248,587.427945633623,554.4346415520183,1.850583696991721,1.992100180404405,78.07071557377316,277.92414247488625,11.676594231121197,31.265477162785096,273.9459954108905,213.75832319317942,145.3277690799336,25.410201584147327,0.8470359022585293,0.2155623319291549,11.343760833710277,10.25510632117988,64.3425165515428,69.14495912524862
EB12,58.0,0.6739436872012539,0.6483738979860258,0.583832668609616,0.5578158094357086,26.627986496854046,21.523615398502873,6.222203113924797,12.08571607858525,16.34346026422866,8.093921664135339,-46.29115257097246,-23.03841036514419,166.65887135719436,161.40306269015,13.615741863610806,11.747722389118213,6.78425795126628,5.85237030570002,5.046915220895077,14.785561988366789,-4.227955363204125,-3.7998716760288844,3.0,3.0324060387512826,32.78159092719241,8.0,193.45007818118572,82.8490068626694,14.97492552861564,5.53142811897265,-7.893624627975226,-11.748028024346002,10.495292854068927,11.852845164780337,715.9376176636248,475.3706912832698,2.0,1.510141309926116,85.33299408275404,132.47863925333397,9.523353106557874,20.7245394321884,434.226824309211,141.81021243654197,63.49146640345809,105.24191777256358,0.7427642227760584,1.0,2.9552168448670733,8.658637631066444,9.683095412995561,119.67720068412247
EB12,59.0,0.281982198196922,0.1935260291948179,0.16745173703334215,0.07478208378903944,47.7658159908991,12.949232166701222,11.48478620638651,11.835531108434061,7.889885688902497,6.524970395002141,-44.008034401288626,-27.61274544199701,154.12336339074835,163.85260259026288,13.77282150220005,12.471295487490327,7.799958032329863,7.200000655170632,8.531098428938884,8.773507728856487,-4.738359791608947,-3.7528246478643283,3.0,3.1215797545700474,16.38394434253546,11.708198867703588,109.81005190871088,94.69656793198773,32.821429783402955,32.34412553994944,-10.25417539297796,-8.472043819462488,13.257151741259381,12.397563797526303,566.5797200008128,234.33906836128477,1.4045736485411549,2.0,197.48751522009664,39.63844729342096,32.92418910834565,16.321403643437016,67.44505780960704,222.68444288372618,21.563423104484553,144.099216564927,0.5194074884858115,0.0,10.997259713998663,29.68783894447838,128.29215073306165,16.921444910468256
