param,type,r2,anti,recov,dR2
SC gate,M,-88.40849827587594,561.7072922550727,2.4479118199711865,89.10073671935395
A_fast,M,-7.153154267974742,0.0,1.7428781249777772,7.845392711452748
g_T,M,-2.9462681558768606,0.0,0.0,3.6385065993548666
g_a,M,-2.432598411257691,0.0,3.2776361091451744,3.124836854735697
fc_stim_duration,F,-0.37539212227508,0.0,1.732141847060993,1.067630565753086
I_baseline,M,0.042506131300767414,0.0,6.66360017725421,0.6497323121772386
I_HD,M,0.12798539696193956,0.0,13.517326990623141,0.5642530465160664
A_sc,M,0.12935659799620292,0.0,1.5514197353480579,0.5628818454818031
mg_conc,F,0.3402827236166698,0.0,1.7449160517247901,0.3519557198613362
tau_sc_off,F,0.5227673329550684,0.0,1.6237369644893451,0.16947111052293762
k_T,F,0.5949697736221706,0.0,1.5973415025570443,0.09726866985583538
stim_delay,F,0.6143629559225372,0.0,1.6494094855050727,0.0778754875554688
tau_hT,F,0.623798251054797,0.0,1.648010234612775,0.06844019242320898
E_Ca,F,0.6244409532114414,0.0,1.5822365211890976,0.06779749026656456
V_half_T,F,0.6528654765641886,0.0,1.6173793583762817,0.03937296691381742
tau_E,F,0.6535661588930104,0.0,1.6730394334226029,0.03867228458499561
tau_sc_on,F,0.6610037440372636,0.0,1.6485804664988342,0.03123469944074242
tau_dend,F,0.6681779880390863,0.0,1.6491805756348716,0.02406045543891966
sc_delay,F,0.6843393935993558,0.0,1.647630411862809,0.0078990498786502
(none) full model,-,0.692238443478006,0.0,1.6485859060480248,0.0
