Animal_Id,Cell_Id,Loss_100N,Loss_360N,R_Squared,I_baseline,A_fast,A_phasic,tau_decay,J1,KAPPA,J0,U_floor,T_phasic,tau_neural,fc_stim_duration,t_delay,HDpeakFRsmooth,HDpeakFR,HDInx,pValS,pValR,nSpk,HDFR,HDAngle,vm_deltaBIC,vm_deltaAIC,vm_deltaLL,vm_mu1_deg,vm_mu2_deg,vm_kappa,vm_kappa2,vm_pi,vm_mu_uni_deg,vm_kappa_uni,EI_balance,membrane_reactivity,phasic_energy,Membrane_Reactivity,Phasic_Energy,EI_Balance
EB09,1.0,12.058736565213263,16.487567337891576,0.8070760063782387,5.205164982812332,2329.7288039492637,35.13396617747844,38.26805534915059,8.729588506304287,9.804771451947653,3.681599974993539,-11.900701926516216,127.42400055215988,40.9367759640286,3.9786931572142556,6.340633849462093,7.195121951219507,11.278195488721794,0.6472529909707935,0.018000000000000016,5.781870073154109e-16,188.0,2.1943206313293895,40.591500454238684,48.08593286575149,57.79525875424133,31.897629377120666,27.06281261873059,60.391224693654955,1.5380412072649392,30.3166866149031,0.5361955266576922,46.590399917307494,2.3599605981505505,2.371139875488403,56.91041243688587,4476.91052559858,56.91041243688587,4476.91052559858,2.371139875488403
EB12,50.0,184.14164436628596,184.16242444761207,0.7585971111403961,60.0,2836.0745197795763,48.014384066410244,500.0,12.860343145200027,20.0,9.927864105762948,-35.526952787048316,113.80000000046624,10.0,1.64661276419689,7.300603084568592,102.80000000000219,140.00000000000296,0.9277207957506769,0.0010000000000000009,0.0,630.0,11.087848140831865,340.0264953260984,183.26799439976605,196.6051538579228,101.3025769289614,344.07827195877354,104.5506774352204,10.517643393670584,0.3444360068141309,0.95,344.51791822297463,5.399900386447691,1.2953786442075519,283.6074519779576,5464.036906779872,283.6074519779576,5464.036906779872,1.2953786442075519
EB12,51.0,19.921114383601452,19.656706799237494,0.7947939957327818,36.406547978210604,1813.6685742629315,82.08210832291488,171.0517592809508,9.693046150939837,9.05521044567118,16.517548033410495,-14.114750061513456,112.39999999246179,10.0,4.924608080485479,5.739398397890742,71.75324675324829,101.405622489962,0.9166043431738644,0.0,3.264014418303201e-280,799.0,12.978886811111877,273.75595075111755,-17.777447115873315,-3.7273642785744983,1.1363178607127509,282.6152472897345,271.1372889770752,14.006085669133011,18.189543977774434,0.533186053427505,277.23327921804884,13.687444322875768,0.586833235255829,181.36685742629317,9226.02897487688,181.36685742629317,9226.02897487688,0.586833235255829
EB12,52.0,16.056391709611052,15.262252726733935,0.8895520265321589,55.55845056205039,2848.6561407122485,109.04701470149543,445.20233142976406,9.979777524397447,2.818753663721568,14.44307015731053,-16.534218973333786,116.59999996073638,10.0,4.6693086959820125,4.6073153720459485,90.53672316384375,141.94915254237588,0.9149632111721017,0.0,0.0,728.0,11.532892506471411,179.5290288374829,13.439108994875767,27.210012139465817,16.60500606973291,182.641755211962,189.11996760837462,10.376636257500618,114.96136092017068,0.7807110961991918,184.11312493202047,12.564438748290893,0.6909734160188972,284.86561407122485,12714.881909912787,284.86561407122485,12714.881909912787,0.6909734160188972
EB12,53.0,30.732889865054123,30.731849622527285,0.8143039259454462,57.96207758751788,2749.3611844359716,90.16928749931266,307.7439085204808,14.797153165861182,2.658345907618813,20.0,-29.578112479331864,116.19999999955341,10.0,3.904125336186198,5.149566796541969,109.90566037736085,195.5818965517283,0.9217709629439391,0.0010000000000000009,0.0,1142.0,18.787158927519734,3.1172766147155606,411.74749908003923,426.8691082506871,216.43455412534354,18.056025722385296,6.918897715581046,59.89035143961617,3.158679623159694,0.5460773922873109,13.51563728500824,5.870752119037942,0.7398576582930592,274.93611844359714,10477.671207379863,274.93611844359714,10477.671207379863,0.7398576582930592
EB12,54.0,204.63178461737843,194.35429951853206,0.77996022007472,54.098735089243114,1989.0917880268428,46.252822297993944,254.5866500706081,11.328463968238788,15.228286593790683,6.716964432485835,-12.0241638026857,116.12713546380763,10.0,4.4343407402265935,6.999991107948073,128.91156462585306,187.9251700680312,0.9117718554722639,0.0010000000000000009,0.0,951.0,16.429580847013135,24.972541557056537,111.82068965430904,126.3932318419453,66.19661592097265,34.268475012310525,27.49925620827612,10.91142353945207,1.1036774359160861,0.95,34.10154703847228,7.480237701224708,1.6865451770817723,198.90917880268427,5371.207760582565,198.90917880268427,5371.207760582565,1.6865451770817723
EB12,55.0,124.44560740921081,124.50960094955016,0.8193836649398483,59.386490050551046,2883.9985557066166,43.1072316552564,200.98652395728675,11.460516465341595,11.093338851953366,9.383587737013501,-1.0,117.42915694593616,10.0,1.725192366431107,7.399999998252212,132.9908675799115,255.1136363636418,0.912464229737907,0.0,0.0,1340.0,19.725038846550387,192.26939715736634,149.96969112894482,165.57096580777966,85.78548290388983,199.81296264770185,198.2998078378174,25.798568443581885,4.4573240151090125,0.735477190205522,199.44379690751802,11.072878040222959,1.2213363146950351,288.39985557066166,5062.045871549931,288.39985557066166,5062.045871549931,1.2213363146950351
EB12,57.0,68.46243773828479,68.09625080708243,0.4512507640399184,44.326897713158345,303.8298562810618,80.92195548086391,237.24844312989453,10.021237642281884,4.536422597079377,20.0,-1.0,102.19999211424917,10.0,1.0243776266185574,0.0,43.777292576420145,56.277056277057476,0.8376950034660848,0.0,1.8920361371263605e-149,638.0,7.21840308105882,132.72189383212955,63.03691900770423,76.41193385773863,41.205966928869316,128.99408923694895,196.0965999236595,6.829375958644433,5.198832671043213,0.8605505010871036,136.78182287149883,3.6793198178157387,0.5010618821140942,30.382985628106177,8270.223212013914,30.382985628106177,8270.223212013914,0.5010618821140942
EB12,58.0,62.98007306554516,59.077343744502926,0.8000484412271651,57.56712234275524,2347.937385616925,71.01400488348261,144.05382826230064,8.39705011067068,3.8829899787972035,7.247575861419329,-15.44055519817776,116.4000000064593,10.0,3.181094850821508,4.669083917799738,71.6942148760346,89.87603305785315,0.9480080444201183,0.0,2.0861304171260612e-232,413.0,6.918488479460297,358.21828390242433,122.75530967236091,134.82565245124403,70.41282622562201,8.015856106534143,329.1272978316973,11.64924987786962,0.355118756583836,0.9341183165201896,7.556588814915892,5.396164141546649,1.1586012028339423,234.7937385616925,8266.030168896077,234.7937385616925,8266.030168896077,1.1586012028339423
EB12,59.0,42.905388452018656,42.915876173610556,0.40138549899978604,47.744058812326706,749.5253737933799,42.040611649469604,67.49526364521026,10.876123190355178,6.0649021091359,11.332142650751141,-1.0,108.40000000074726,10.0,3.197627654143735,6.000055243172272,26.872246696035816,38.87559808612524,0.9374531464180882,0.0,2.234500215149745e-98,258.0,3.048160942897785,95.93865902115616,-4.711252579135353,5.947626175629498,5.973813087814749,108.76254233381441,88.00074091294927,42.61541977974446,49.52655717364782,0.5956105355114851,100.37942258885926,18.966976315379064,0.9597587610348572,74.952537379338,4557.20230283392,74.952537379338,4557.20230283392,0.9597587610348572
EB12,60.0,42.229650639462506,42.22946869130162,0.7682782767413925,54.97979459755376,2375.0067372678564,53.06866093448117,127.71453635246715,10.569506954692992,5.997075699208263,13.448735059937167,-12.873421644702397,113.20000035231989,10.924935679622177,2.104460195255415,7.924246022056256,51.17370892018889,68.54838709677566,0.8977892001286043,0.0,1.5992633228051457e-194,610.0,5.679731663405322,228.0776837380164,-6.636614808752029,6.603762062750093,6.301881031375046,224.45414035656506,255.8159010443215,10.005644504932691,19.233314628020068,0.7022211798433161,233.8312614439672,7.04578603376296,0.7859108613254496,217.39320092271632,6007.372436480414,217.39320092271632,6007.372436480414,0.7859108613254496
EB12,61.0,151.58106394897464,154.1591864343506,0.7386629506545179,57.65576521866186,2847.0645170298803,50.70198855190013,167.02421832139052,12.568388133481806,10.914234253319712,13.235577027169615,-1.1833807928098625,116.86153591127791,10.451358910016449,1.0586779692511654,8.194330714564922,87.801204819279,112.87878787879029,0.9178031336761966,0.0010000000000000009,5e-324,702.0,9.994561364044069,329.0711111333141,90.63831514072535,104.30011535280278,55.15005767640139,334.0999013106068,344.02053340664844,10.571267755481166,0.9429013599109762,0.95,334.3261546753579,6.9539348098536555,0.9495912499834179,272.4109411553449,5925.112255931079,272.4109411553449,5925.112255931079,0.9495912499834179
EB12,62.0,77.79037842189128,75.84274078921874,0.8448089188498804,45.964790377407006,2326.2265653135846,91.02386059925368,155.2944751667944,11.309620960724036,7.296018055763575,8.033514744011802,-23.44569562333753,102.31912521791511,18.076086607634423,3.218132870373404,4.9999999816643435,109.1008771929848,156.79824561403842,0.9148874813410355,0.0,0.0,1254.0,14.862602704851467,96.25583716432175,7.293107491706905,22.695388655285456,14.347694327642728,101.18165771253088,94.02956460757284,11.147524995702808,3.384585649447584,0.95,100.8803948007104,9.902838850798105,1.4078048427251908,128.6908287068676,9313.481790473088,128.6908287068676,9313.481790473088,1.4078048427251908
EB12,63.0,109.78768794806506,107.26525265736437,0.7578320184820037,52.7389394117446,2656.5936283346077,76.96767019127807,180.64819541804178,11.317858232646012,3.275813552617475,10.69996418936477,-2.8674925582521973,113.99999996808198,10.0,1.471963179363688,7.542200784086284,132.0000000000028,173.8888888888926,0.9151785567971541,0.0010000000000000009,0.0,1544.0,20.387230621831662,123.84750700923261,-12.076653746257648,3.9497414454965565,4.974870722748278,135.0142117529148,116.20736398529017,11.510802249909837,15.867074258645948,0.5749366269524301,126.97265175667474,9.91716454402432,1.0577473001167048,265.65936283346076,8774.314399349045,265.65936283346076,8774.314399349045,1.0577473001167048
