Animal_Id,Cell_Id,R_Squared,gate,FC_model,FC_data,tau_E,I_baseline,I_HD,reversal_potential,A_fast,fc_stim_duration,stim_delay,g_T,V_half_T,k_T,tau_hT,E_Ca,g_h,V_half_h,tau_h_on,tau_h_off,g_a,A_sc,tau_sc_on,tau_sc_off,tau_sc_off2,w_sc,sc_delay,tau_scg,HDpeakFRsmooth,HDpeakFR,HDInx,pValS,pValR,nSpk,HDFR,HDAngle,vm_deltaBIC,vm_deltaAIC,vm_deltaLL,vm_mu1_deg,vm_mu2_deg,vm_kappa,vm_kappa2,vm_pi,vm_mu_uni_deg,vm_kappa_uni
EB09,1.0,0.7822766151232948,network,143.38143808327993,142.15686274509804,35.474328592366895,5.361554037369528,1.627899703707806,-38.963515685315,232.0008170969644,12.298626575295302,4.570774657918137,5.733396056315954,-4.579948824037518,3.0484250456879662,11.633558241836452,98.28383430372901,9.689908902120987,-17.142175521236553,8.679022418342186,400.32737311799167,1.8697849920363268,89.91465896217295,12.845125414096954,77.50959145128215,103.70708900379387,0.9819902621059757,7.917584823463933,64.2139827450594,7.195121951219507,11.278195488721794,0.6472529909707935,0.018000000000000016,5.781870073154109e-16,188.0,2.1943206313293895,40.591500454238684,48.08593286575149,57.79525875424133,31.897629377120666,27.06281261873059,60.391224693654955,1.5380412072649392,30.3166866149031,0.5361955266576922,46.590399917307494,2.3599605981505505
EB12,50.0,0.6797207494547521,network,262.6712866488991,247.61904761904762,5.746025696749359,7.874672485683953,11.87032260749696,-39.51232380253033,179.2904074822016,11.772389058331132,7.400000004538692,10.551850916641577,-4.505821193301487,3.93959101830753,18.680138235958722,134.62310086050095,46.47976988132215,-14.402386969609644,4.557254962172326,385.24016487412314,1.421941157629175,74.28931132218615,22.455132323356942,346.97147063294267,82.8573319350072,0.6955648676959009,28.440819404728096,55.6037854612726,102.80000000000219,140.00000000000296,0.9277207957506769,0.0010000000000000009,0.0,630.0,11.087848140831865,340.0264953260984,183.26799439976605,196.6051538579228,101.3025769289614,344.07827195877354,104.5506774352204,10.517643393670584,0.3444360068141309,0.95,344.51791822297463,5.399900386447691
EB12,51.0,0.5902221976408677,network,152.85538769706724,122.80701754385964,9.90105389177154,7.45938548467575,0.6411617866157695,-34.29123041943933,183.48618057055225,13.021123486586882,7.000568239843283,7.5523811370529685,-4.248443258828245,4.442706549491581,27.416818637289573,82.74151092952407,5.623414740979714,3.124677286924326,9.442316397142276,459.1902782859698,1.9531994043497087,194.898477971988,35.04125124505332,140.09094635736562,80.21193356612,0.21904198026691502,6.09856131230583,128.4812571057736,71.75324675324829,101.405622489962,0.9166043431738644,0.0,3.264014418303201e-280,799.0,12.978886811111877,273.75595075111755,-17.777447115873315,-3.7273642785744983,1.1363178607127509,282.6152472897345,271.1372889770752,14.006085669133011,18.189543977774434,0.533186053427505,277.23327921804884,13.687444322875768
EB12,52.0,0.7434036556918264,network,220.23821432770865,259.25925925925924,9.48115460236125,13.473705037028525,4.288630142786461,-34.56514710973498,172.66405803147524,12.080182400948592,6.862128735836553,39.3553315515259,-3.8379199562593023,3.6175311493680695,11.671749263323315,111.21283925780652,4.13023503511269,-12.005350780205958,7.023418019276259,772.115399834285,1.0469084003617306,107.69530682135826,25.83913193297172,240.4115413861148,138.8584602419689,0.14106537562514743,5.375364596109918,7.146641445745601,90.53672316384375,141.94915254237588,0.9149632111721017,0.0,0.0,728.0,11.532892506471411,179.5290288374829,13.439108994875767,27.210012139465817,16.60500606973291,182.641755211962,189.11996760837462,10.376636257500618,114.96136092017068,0.7807110961991918,184.11312493202047,12.564438748290893
EB12,53.0,0.790364921390559,network,217.59912200853472,216.21621621621622,47.13805784768227,13.0805333390387,5.561705708250874,-34.94003700467392,285.1900861658101,5.571809603690627,3.228190398797052,13.181603805075452,-4.73497332163862,3.19882564455636,8.004484294351725,170.05189914034278,15.247028627825955,-24.68574890050282,5.803240790614953,743.241498921803,1.4179090346549026,84.6167944485093,24.31267568759206,331.47354819499395,144.30011914567976,0.5815996055881589,8.512279801913031,103.74128451260862,109.90566037736085,195.5818965517283,0.9217709629439391,0.0010000000000000009,0.0,1142.0,18.787158927519734,3.1172766147155606,411.74749908003923,426.8691082506871,216.43455412534354,18.056025722385296,6.918897715581046,59.89035143961617,3.158679623159694,0.5460773922873109,13.51563728500824,5.870752119037942
EB12,54.0,0.7832574096354392,network,277.8869494966074,268.51851851851853,49.25240380865652,12.88913944471835,7.215735224991776,-21.858033434589217,676.5602315660212,2.9313845336896627,3.7272914461623046,11.2806460911061,-4.904850004458671,3.9796982305118256,9.142967218761283,120.81714130467637,19.831101895499042,-22.903569933108898,5.871490087800154,798.8014511422514,1.7402238084516948,121.05424922460989,12.390789178556444,170.05046723400295,20.032424288029226,0.9248367724624048,13.063258082034125,114.80793986201941,128.91156462585306,187.9251700680312,0.9117718554722639,0.0010000000000000009,0.0,951.0,16.429580847013135,24.972541557056537,111.82068965430904,126.3932318419453,66.19661592097265,34.268475012310525,27.49925620827612,10.91142353945207,1.1036774359160861,0.95,34.10154703847228,7.480237701224708
EB12,55.0,0.7267122181933463,network,271.03022903584474,296.2962962962963,42.16035207508982,3.118251703093053,18.259361106526317,-25.030201747443023,379.2374306968565,4.248190430521864,3.399787265721112,15.364095347240074,-4.394714431007138,3.221702349642431,8.0,99.46703093962154,25.77491172198445,-23.627980981865324,12.334087798122441,811.4823686510193,1.0995958722581034,79.08942201650358,19.467621978946916,350.35214381728,75.89812357388324,0.5633724091432699,2.9851244752551147,67.3406364601988,132.9908675799115,255.1136363636418,0.912464229737907,0.0,0.0,1340.0,19.725038846550387,192.26939715736634,149.96969112894482,165.57096580777966,85.78548290388983,199.81296264770185,198.2998078378174,25.798568443581885,4.4573240151090125,0.735477190205522,199.44379690751802,11.072878040222959
EB12,57.0,0.6131480733781427,network,97.70381705298472,117.6470588235294,39.38404114105861,10.786338711543554,5.0837685625389755,-38.75959794628608,199.06375116394378,13.781700935537708,6.400102109256156,5.201214765700555,-4.632863976079238,3.237044268214075,24.188398092561744,107.66051783098158,7.789073597023831,-10.35156113377225,10.907931975688172,807.5932636437379,1.9725306684944037,80.40340583746533,21.973295660876012,311.9245169332887,79.25585343605248,0.9702881609119028,5.613200672962081,90.06164891937247,43.777292576420145,56.277056277057476,0.8376950034660848,0.0,1.8920361371263605e-149,638.0,7.21840308105882,132.72189383212955,63.03691900770423,76.41193385773863,41.205966928869316,128.99408923694895,196.0965999236595,6.829375958644433,5.198832671043213,0.8605505010871036,136.78182287149883,3.6793198178157387
EB12,58.0,0.7007304059847033,network,135.71510005280965,180.18018018018017,17.692301563454794,6.8555677435633156,15.828303564846719,-20.902465525613273,150.76299369417805,11.91979422258547,7.199971999531435,12.482306864868015,-5.0,3.0,10.33518955712782,144.53195962155925,3.0159747661421794,-8.277997606875468,13.159549049216558,238.9791820418812,2.0,105.35230240746495,13.398484692345194,360.81050715763877,51.293663880834416,0.6511409903096915,6.047047321200724,92.78097396781158,71.6942148760346,89.87603305785315,0.9480080444201183,0.0,2.0861304171260612e-232,413.0,6.918488479460297,358.21828390242433,122.75530967236091,134.82565245124403,70.41282622562201,8.015856106534143,329.1272978316973,11.64924987786962,0.355118756583836,0.9341183165201896,7.556588814915892,5.396164141546649
EB12,59.0,0.31012174462640996,network,83.12614346599663,100.0,40.70156494967268,8.456200568171083,10.218684829664754,-31.174620832964386,149.85270780838866,13.817621505453175,6.399998767368277,5.206309458797328,-4.330892954368746,3.6066852705684176,19.750242976832766,123.53013217290582,35.39487886955391,-18.10767702950685,3.5186512506535474,558.2650798497183,1.3886145282051685,118.09675026575697,37.4289024918024,488.78502199771543,58.812728209124934,0.0,2.4381137829942343,17.30855313345305,26.872246696035816,38.87559808612524,0.9374531464180882,0.0,2.234500215149745e-98,258.0,3.048160942897785,95.93865902115616,-4.711252579135353,5.947626175629498,5.973813087814749,108.76254233381441,88.00074091294927,42.61541977974446,49.52655717364782,0.5956105355114851,100.37942258885926,18.966976315379064
