Animal_Id,Cell_Id,R_Squared,gate,FC_model,FC_data,SC_pd,SC_anti,SC_anti_data,tau_E,I_baseline,I_HD,A_fast,fc_stim_duration,stim_delay,g_T,V_half_T,k_T,tau_hT,E_Ca,g_a,A_sc,tau_sc_on,tau_sc_off,sc_delay,tau_dend,mg_conc,HDpeakFRsmooth,HDpeakFR,HDInx,pValS,pValR,nSpk,HDFR,HDAngle,vm_deltaBIC,vm_deltaAIC,vm_deltaLL,vm_mu1_deg,vm_mu2_deg,vm_kappa,vm_kappa2,vm_pi,vm_mu_uni_deg,vm_kappa_uni
EB09,1.0,0.7686724843648303,mg,149.93622267428606,142.15686274509804,17.899789263869586,0.0,0.0,48.91447038478763,6.467685850701918,3.357936221655413,234.58736298541012,12.832828149427833,3.1671719460799506,5.0,-5.0,3.0,10.420962771125524,101.40357124889465,2.0,190.0988513084159,36.09158746186971,332.3269506709797,1.3491094398739438,63.789924664065275,0.7401498324777451,7.195121951219507,11.278195488721794,0.6472529909707935,0.018000000000000016,5.781870073154109e-16,188.0,2.1943206313293895,40.591500454238684,48.08593286575149,57.79525875424133,31.897629377120666,27.06281261873059,60.391224693654955,1.5380412072649392,30.3166866149031,0.5361955266576922,46.590399917307494,2.3599605981505505
EB12,50.0,0.680482103030431,mg,213.57961542165543,247.61904761904762,105.69766561876523,0.0,0.0,48.16413814501848,14.996407570629772,5.281440849246704,417.4439267518225,3.7353899866644795,5.464610012456049,7.646311026806353,-4.353479861627761,4.436167646744039,8.0,174.84599968040195,1.8961068141923196,183.72113163997426,23.81264221811315,239.58976978780987,25.44802502647203,75.42812066857275,0.8678150756476162,102.80000000000219,140.00000000000296,0.9277207957506769,0.0010000000000000009,0.0,630.0,11.087848140831865,340.0264953260984,183.26799439976605,196.6051538579228,101.3025769289614,344.07827195877354,104.5506774352204,10.517643393670584,0.3444360068141309,0.95,344.51791822297463,5.399900386447691
EB12,51.0,0.5458662928821294,mg,88.38402984701548,122.80701754385964,83.59358626189402,0.0,0.0,42.734219221200874,11.240157610332695,5.0705271212755685,123.98993301944029,12.641321046920064,4.3586789535944375,5.421641911026558,-4.7545057422200045,3.0524356196240494,8.890571831550924,141.77428983188682,1.9008544148477073,58.1215893540687,29.12325988321362,204.33917831157004,2.180428296248682,137.33214310300036,0.0755878750202058,71.75324675324829,101.405622489962,0.9166043431738644,0.0,3.264014418303201e-280,799.0,12.978886811111877,273.75595075111755,-17.777447115873315,-3.7273642785744983,1.1363178607127509,282.6152472897345,271.1372889770752,14.006085669133011,18.189543977774434,0.533186053427505,277.23327921804884,13.687444322875768
EB12,52.0,0.7995438144340051,mg,267.64918727164786,259.25925925925924,120.54806705504006,0.0,0.0,45.507816542711566,13.481051474630966,3.76908169887968,568.7436902727032,3.4178344439354156,4.782165369546606,31.418104381408067,-4.053191754787037,3.266389901013648,8.0,133.6767010660141,0.6557918687390029,228.72452521068016,5.2539141767765685,190.3591060711714,7.737951701369193,66.58227972056285,1.0763751264596617,90.53672316384375,141.94915254237588,0.9149632111721017,0.0,0.0,728.0,11.532892506471411,179.5290288374829,13.439108994875767,27.210012139465817,16.60500606973291,182.641755211962,189.11996760837462,10.376636257500618,114.96136092017068,0.7807110961991918,184.11312493202047,12.564438748290893
EB12,53.0,0.7658976070585232,mg,222.0492834177188,216.21621621621622,101.24446711050177,0.0,0.0,12.30853375155012,6.162770056460121,12.660079706955829,147.34845044834597,13.942081546646769,5.6000846730667115,12.677185353157403,-3.875465358025085,4.494001731231127,13.777646812391408,80.57624002172908,2.0,171.92478343927624,38.84159883443275,143.07539693246085,23.20121466021725,145.4487953680805,0.4593006790921089,109.90566037736085,195.5818965517283,0.9217709629439391,0.0010000000000000009,0.0,1142.0,18.787158927519734,3.1172766147155606,411.74749908003923,426.8691082506871,216.43455412534354,18.056025722385296,6.918897715581046,59.89035143961617,3.158679623159694,0.5460773922873109,13.51563728500824,5.870752119037942
EB12,54.0,0.7292393444707709,mg,275.6941461355729,268.51851851851853,108.38336477788543,0.0,0.0,49.81998818522094,9.935039573259285,10.27799047161593,699.0752326455846,3.1029855430779225,6.297008298225211,22.24343588163208,-4.283041610351073,3.155170397307086,9.832265491960474,154.49736490646436,1.4322414663800063,299.0845150075163,23.160738952198454,128.64049110939712,1.1139747804519737,125.23130922120494,0.9453342102821948,128.91156462585306,187.9251700680312,0.9117718554722639,0.0010000000000000009,0.0,951.0,16.429580847013135,24.972541557056537,111.82068965430904,126.3932318419453,66.19661592097265,34.268475012310525,27.49925620827612,10.91142353945207,1.1036774359160861,0.95,34.10154703847228,7.480237701224708
EB12,55.0,0.717965130024038,mg,274.14531305549843,296.2962962962963,105.27874632491185,0.0,0.0,45.21623574814592,4.183387814481845,17.982466970612165,402.3674986877457,4.5579571430179575,3.4420282355133462,18.262783170963708,-4.059863556018643,3.052475791994995,8.52770140454324,198.1056762016517,1.9995413895078402,200.6766612992935,20.079518659266334,288.28549670371024,24.12650418575761,128.45446543127932,1.5255016452349248,132.9908675799115,255.1136363636418,0.912464229737907,0.0,0.0,1340.0,19.725038846550387,192.26939715736634,149.96969112894482,165.57096580777966,85.78548290388983,199.81296264770185,198.2998078378174,25.798568443581885,4.4573240151090125,0.735477190205522,199.44379690751802,11.072878040222959
EB12,57.0,0.6284722442520866,mg,110.25578058796798,117.6470588235294,55.977414825607525,1.1263830075552135,0.0,30.319115308635514,10.220947700705873,5.817773964782884,223.6181201895074,11.382442338242301,7.799999990027644,6.310782734697987,-4.750757283559844,3.0,9.058610777019197,95.84091796290478,1.5677379974731662,233.68512774443477,15.573572354524474,266.1765214117403,2.614850943541973,54.292553854692414,0.8029782233356482,43.777292576420145,56.277056277057476,0.8376950034660848,0.0,1.8920361371263605e-149,638.0,7.21840308105882,132.72189383212955,63.03691900770423,76.41193385773863,41.205966928869316,128.99408923694895,196.0965999236595,6.829375958644433,5.198832671043213,0.8605505010871036,136.78182287149883,3.6793198178157387
EB12,58.0,0.6938186444154445,mg,218.33873094447085,180.18018018018017,112.18828353092337,0.0,0.0,36.65704298635254,9.676470193821494,10.003769536386137,251.0894116665693,7.623801599576278,4.9761380075882595,28.3413171648685,-4.769924942581002,3.0,12.05355988179092,111.6339320373756,2.0,167.56074441801672,32.985625159245686,205.5406126609504,1.7586070956006008,78.82033466839692,0.5567816370438383,71.6942148760346,89.87603305785315,0.9480080444201183,0.0,2.0861304171260612e-232,413.0,6.918488479460297,358.21828390242433,122.75530967236091,134.82565245124403,70.41282622562201,8.015856106534143,329.1272978316973,11.64924987786962,0.355118756583836,0.9341183165201896,7.556588814915892,5.396164141546649
EB12,59.0,0.30624645463272193,mg,91.75058176479098,100.0,59.75697338662357,0.0,0.0,26.801367377324148,12.949537566186718,6.336920841956471,167.52942033362893,12.70717979711743,7.292945503549244,7.088700748517173,-3.477082581673688,3.3899999684060855,16.217541533418878,94.96992781520866,1.3797094405547656,242.76909472608654,27.288693865362816,59.19376064394545,21.510549106249677,63.14883033059817,0.6074570665679083,26.872246696035816,38.87559808612524,0.9374531464180882,0.0,2.234500215149745e-98,258.0,3.048160942897785,95.93865902115616,-4.711252579135353,5.947626175629498,5.973813087814749,108.76254233381441,88.00074091294927,42.61541977974446,49.52655717364782,0.5956105355114851,100.37942258885926,18.966976315379064
EB12,60.0,0.5732380162110973,mg,163.9442531141782,171.42857142857144,73.25836210505501,0.0,0.0,15.044560431169996,5.267531125712206,12.617953410329317,172.0430109704121,13.242832052192686,6.6000007623984285,5.9707020959773915,-3.100106302018047,3.335906764119409,12.264920943273063,114.54289376374967,1.4810850480113713,65.50112704141456,23.121035681433174,103.7312164433536,17.74911513727595,121.57795871420225,0.0838733225965896,51.17370892018889,68.54838709677566,0.8977892001286043,0.0,1.5992633228051457e-194,610.0,5.679731663405322,228.0776837380164,-6.636614808752029,6.603762062750093,6.301881031375046,224.45414035656506,255.8159010443215,10.005644504932691,19.233314628020068,0.7022211798433161,233.8312614439672,7.04578603376296
EB12,61.0,0.5937523361004069,mg,174.2829914369508,183.76068376068375,94.58071470274677,0.0,0.0,11.731126428637745,11.969789341808324,7.439661104725407,168.4388093472802,12.711291366522365,7.1999227783717386,6.375800400038904,-2.378189022079811,3.0,12.075622954953563,106.06159988488322,1.5267662720817736,298.8069364872759,7.622297777780578,211.86860857189208,4.571277403205852,144.28696518958026,1.5294979487385254,87.801204819279,112.87878787879029,0.9178031336761966,0.0010000000000000009,5e-324,702.0,9.994561364044069,329.0711111333141,90.63831514072535,104.30011535280278,55.15005767640139,334.0999013106068,344.02053340664844,10.571267755481166,0.9429013599109762,0.95,334.3261546753579,6.9539348098536555
EB12,62.0,0.7254057375227215,mg,246.64305545374364,223.95833333333334,149.9921018226729,0.0,0.0,43.93413552887072,12.5370144471395,9.409372593193563,534.1098563639695,2.767027025418118,4.832972988348438,46.34792251508629,-3.1293380066528615,3.0000951051345197,9.540957391230556,83.53809528169882,2.0,254.30302291860153,28.274684727027513,182.75151584061305,24.989374961069142,51.41176402050606,1.4424701497417354,109.1008771929848,156.79824561403842,0.9148874813410355,0.0,0.0,1254.0,14.862602704851467,96.25583716432175,7.293107491706905,22.695388655285456,14.347694327642728,101.18165771253088,94.02956460757284,11.147524995702808,3.384585649447584,0.95,100.8803948007104,9.902838850798105
EB12,63.0,0.7790360609157627,mg,258.4429821104519,252.25225225225225,132.07788628456294,0.0,0.0,42.37608718168473,9.594323872968124,11.103274160994664,529.2767492973793,2.9791861571789733,3.8208151285283876,42.315092775960615,-5.0,3.0,8.0,113.81864794176262,2.0,106.39643857979108,35.826192414553475,194.20817116284803,17.684495375211732,77.92103940243513,0.3288714428646412,132.0000000000028,173.8888888888926,0.9151785567971541,0.0010000000000000009,0.0,1544.0,20.387230621831662,123.84750700923261,-12.076653746257648,3.9497414454965565,4.974870722748278,135.0142117529148,116.20736398529017,11.510802249909837,15.867074258645948,0.5749366269524301,126.97265175667474,9.91716454402432
