Animal_Id,Cell_Id,ctl_peak,ctl_auc,ctl_thalf,peak_block100,auc_block100,peak_block75,auc_block75,peak_block50,auc_block50,peak_block25,auc_block25,apv_full_peak,apv_full_auc,mgfree_pd_peak,mgfree_anti_peak,ctl_anti_peak,ifen_peak,ifen_auc,ifen_thalf
EB09,1.0,25.508094274878466,6646.278050934773,132.59999999999246,12.596789853363841,5091.880618630774,13.589648541491467,5387.950467450737,15.736291866473959,5749.051905582394,18.581569653684873,6162.717338619231,9.064505800987224,423.5869150997364,122.90067545617974,111.49442483173561,0.0,28.142237113532882,7569.264092606614,157.79999999999103
EB12,50.0,106.6313918853299,50934.143169383045,,76.5609909050535,38971.05189375678,78.83460071174065,41209.810056690476,81.10883087019374,43827.51161025865,88.02000934449097,46989.7275916536,134.5620133491566,28638.6825633052,261.33557497652305,245.57288946528757,0.0,86.55963828139242,42138.108181449454,
EB12,51.0,76.1185812014749,22969.14871006312,137.59999999999218,61.199765710539296,18141.824301189044,52.77002988146475,18860.573721386238,54.13040370567583,19903.90242200753,61.884228642450104,21246.402457303477,341.5982940846729,12590.501938026973,342.7082488595101,340.1115113251983,0.0,71.80803142161395,21623.743848129343,131.39999999999253
EB12,52.0,120.88579793594383,54422.90082033021,,75.7476574778424,47409.53908338171,83.64877170593526,48619.04857055683,93.59805544418617,50066.778875707096,105.97309344630395,51901.350612464834,541.4607245815941,27896.521866000523,299.0076318466755,279.1846083658991,0.0,120.07456153799066,53608.5141805493,
EB12,53.0,118.87888982483386,42415.20979847012,313.99999999998215,104.77279783890395,32096.01833610059,107.72126751787036,33969.47445327873,110.91719519529913,36186.99717618583,114.59866892313087,38911.27696657048,544.8737147680755,32586.29349096949,236.79693644459599,196.25491846996485,0.0,117.5369678779674,37507.26160305695,170.59999999999025
EB12,54.0,107.55042131050047,44784.466982237005,427.9999999999756,63.6599815587128,33273.98741327044,71.21065452019798,35247.49848634307,80.26655950530646,37647.48781635886,91.60720069961391,40711.3311813677,351.19101147984776,21835.046212437137,320.1812388726271,275.35654608666323,0.0,73.54153296931909,33554.706005743705,
EB12,55.0,100.23319515498274,43850.324422903475,,89.45319124815285,33530.907517573214,90.5109961616883,35443.83806999695,92.58666246274544,37697.91764293697,95.76341465949034,40431.66501916837,217.48240531193275,17305.886973024197,204.17710302783888,106.87847539347713,0.0,95.2430286807533,35701.19064064503,
EB12,57.0,58.627215108254845,23559.574626154987,287.1999999999837,27.941012115296765,12260.72168017547,31.085354332192132,14288.41647451169,36.7284520660741,16696.132908544776,45.43741356540596,19683.351170785245,50.264581448841994,1403.0822076243126,223.54587631217902,200.71383240323678,0.0,44.68434315321335,13782.31339814862,135.5999999999923
EB12,58.0,112.95419508994853,40771.31826715642,306.3999999999826,54.91204788104612,26002.761112345073,66.62596546416057,28333.563432545987,80.17995961030535,31261.863452525842,95.34436884029114,35189.21943480806,635.4786486312767,24317.037330521936,337.33101072591313,248.43670921493668,0.0,95.723173297724,27653.177186997294,30.59999999999826
EB12,59.0,55.301569446514605,26369.571794075688,,39.911244371741034,24575.404388890587,39.75190596271375,24836.47604410807,40.75730626872752,25208.09905046621,46.69280797895732,25727.98973766176,194.2061871546911,16455.484322211185,121.23163830229353,69.12599639523302,0.0,55.301569446514605,26369.571794075688,
